symbol,name,n_mps,agg_current_value,stock_return_pct
IRFC,Indian Railway Finance Corporation Limited,2,847974,-43.6
COROMANDEL,Coromandel International Limited,2,549980,43.0
HDFCLIFE,HDFC Life Insurance Company Limited,2,56353,7.4
WABAG,VA Tech Wabag Limited,2,899129,46.5
CIPLA,Cipla Limited,2,226530,-3.5
LUPIN,Lupin Limited,2,2252239,44.0
RAYMOND,Raymond Limited,2,8378228,-22.8
PCBL,PCBL Chemical Limited,2,2371178,20.9
BANKINDIA,Bank of India,2,367586,13.5
FEDERALBNK,The Federal Bank  Limited,2,1468454,81.2
HCLTECH,HCL Technologies Limited,2,385354,-7.4
CYIENT,Cyient Limited,2,303337,-47.9
GMMPFAUDLR,GMM Pfaudler Limited,2,1233194,-36.5
GRANULES,Granules India Limited,2,248404,74.1
SPARC,Sun Pharma Advanced Research Company Limited,2,414400,-6.4
PATELENG,Patel Engineering Limited,1,24945,-56.2
SALASAR,Salasar Techno Engineering Limited,1,20620,-65.7
TI,Tilaknagar Industries Limited,1,121867,93.2
PILANIINVS,Pilani Investment and Industries Corporation Limited,1,123581,20.8
IMAGICAA,Imagicaaworld Entertainment Limited,1,40650,-47.3
URJA,Urja Global Limited,1,1967,-49.5
SBFC,SBFC Finance Limited,1,4044,11.2
VIKASLIFE,Vikas Lifecare Limited,1,1134,-71.2
MAHLIFE,Mahindra Lifespace Developers Limited,1,89964,-40.7
TATAELXSI,Tata Elxsi Limited,1,26739,-39.9
ALOKINDS,Alok Industries Limited,1,6556,-52.5
MOIL,MOIL Limited,1,9440,-35.1
DENORA,De Nora India Limited,1,333097,-52.7
INDUSINDBK,IndusInd Bank Limited,1,2540329,-37.1
HINDPETRO,Hindustan Petroleum Corporation Limited,1,685879,14.0
ICRA,ICRA Limited,1,3994368,3.2
PGHL,Procter & Gamble Health Limited,1,5001172,22.9
EVEREADY,Eveready Industries India Limited,1,628840,-4.0
DREDGECORP,Dredging Corporation of India Limited,1,768898,15.4
NETWORK18,Network18 Media & Investments Limited,1,1081335,-59.4
STAR,Strides Pharma Science Limited,1,8435866,42.7
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,1,658292,59.0
GMRP&UI,GMR Power and Urban Infra Limited,1,87245,67.0
VBL,Varun Beverages Limited,1,8776058,-7.7
CGPOWER,CG Power and Industrial Solutions Limited,1,463082,39.3
BRITANNIA,Britannia Industries Limited,1,5166058,4.0
GODREJAGRO,Godrej Agrovet Limited,1,566117,10.2
RPSGVENT,RPSG VENTURES LIMITED,1,167759,42.3
SNOWMAN,Snowman Logistics Limited,1,554051,-39.5
DEVYANI,Devyani International Limited,1,409379,-23.9
GNA,GNA Axles Limited,1,827861,-2.8
NLCINDIA,NLC India Limited,1,354861,59.5
POONAWALLA,Poonawalla Fincorp Limited,1,841629,-9.9
PARAGMILK,Parag Milk Foods Limited,1,923778,26.7
TVSMOTOR,TVS Motor Company Limited,1,2739372,53.4
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1,758052,44.1
