candidate_id,mp_name,party,kind,symbol_or_code,security_name,owner,declared_value,current_value,return_pct
4427,AMIT SHAH,BJP,equity,BHARTIARTL,Bharti Airtel Limited,spouse,12247949,17015721,38.9
4427,AMIT SHAH,BJP,equity,SUNPHARMA,Sun Pharmaceutical Industries Limited,spouse,10472340,13657403,30.4
4427,AMIT SHAH,BJP,equity,HINDUNILVR,Hindustan Unilever Limited,self,13550452,13024285,-3.9
4427,AMIT SHAH,BJP,equity,MRF,MRF Limited,self,12944380,12770526,-1.3
4427,AMIT SHAH,BJP,equity,COLPAL,Colgate Palmolive (India) Limited,self,10693200,8812645,-17.6
4427,AMIT SHAH,BJP,equity,LT,Larsen & Toubro Limited,spouse,6481440,7188225,10.9
4427,AMIT SHAH,BJP,equity,TATASTEEL,Tata Steel Limited,spouse,4968656,6205384,24.9
4427,AMIT SHAH,BJP,equity,JSWSTEEL,JSW Steel Limited,spouse,4302250,6179683,43.6
4427,AMIT SHAH,BJP,equity,ICICIBANK,ICICI Bank Limited,spouse,5391750,6174779,14.5
4427,AMIT SHAH,BJP,equity,CUMMINSIND,Cummins India Limited,self,4259640,6133034,44.0
4427,AMIT SHAH,BJP,equity,PGHH,Procter & Gamble Hygiene and Health Care Limited,self,9529230,6011750,-36.9
4427,AMIT SHAH,BJP,equity,PGHH,Procter & Gamble Hygiene and Health Care Limited,spouse,9497465,5991711,-36.9
4427,AMIT SHAH,BJP,equity,ABB,ABB India Limited,self,7184349,5942460,-17.3
4427,AMIT SHAH,BJP,equity,ULTRACEMCO,UltraTech Cement Limited,spouse,4753125,5491889,15.5
4427,AMIT SHAH,BJP,equity,POWERINDIA,Hitachi Energy India Limited,self,1576570,5372907,240.8
4427,AMIT SHAH,BJP,equity,ITC,ITC Limited,self,6388500,5065372,-20.7
4427,AMIT SHAH,BJP,equity,NESCO,Nesco Limited,self,3244200,4687530,44.5
4427,AMIT SHAH,BJP,equity,ANANTRAJ,Anant Raj Limited,self,3325000,4547544,36.8
4427,AMIT SHAH,BJP,equity,NESTLEIND,Nestle India Limited,self,3830475,4538944,18.5
4427,AMIT SHAH,BJP,equity,NCC,NCC Limited,spouse,7594500,4043464,-46.8
4427,AMIT SHAH,BJP,equity,BBTC,The Bombay Burmah Trading Corporation Limited,self,3877250,3999197,3.1
4427,AMIT SHAH,BJP,equity,RAMCOCEM,The Ramco Cements Limited,self,3236800,3900066,20.5
4427,AMIT SHAH,BJP,equity,ZYDUSLIFE,Zydus Lifesciences Limited,spouse,3740600,3748040,0.2
4427,AMIT SHAH,BJP,equity,INFY,Infosys Limited,self,4360405,3721104,-14.7
4427,AMIT SHAH,BJP,equity,BERGEPAINT,Berger Paints (I) Limited,self,3565599,3677686,3.1
4427,AMIT SHAH,BJP,equity,SBIN,State Bank of India,spouse,3030000,3611637,19.2
4427,AMIT SHAH,BJP,equity,WELCORP,Welspun Corp Limited,self,1675650,3604187,115.1
4427,AMIT SHAH,BJP,equity,GRINDWELL,Grindwell Norton Limited,self,4274300,3527609,-17.5
4427,AMIT SHAH,BJP,equity,KANSAINER,Kansai Nerolac Paints Limited,self,4097250,3386298,-17.4
4427,AMIT SHAH,BJP,equity,SPLPETRO,Supreme Petrochem Limited,self,3193750,3368811,5.5
4427,AMIT SHAH,BJP,equity,DBREALTY,Valor Estate Limited,spouse,5584875,3255611,-41.7
4427,AMIT SHAH,BJP,equity,BHARATFORG,Bharat Forge Limited,self,2633175,3248472,23.4
4427,AMIT SHAH,BJP,equity,GPIL,Godawari Power And Ispat limited,spouse,1642200,2753601,67.7
4427,AMIT SHAH,BJP,equity,LT,Larsen & Toubro Limited,self,2340520,2595748,10.9
4427,AMIT SHAH,BJP,equity,EIHAHOTELS,EIH Associated Hotels Limited,self,2316761,2160592,-6.7
4427,AMIT SHAH,BJP,equity,INOXWIND,Inox Wind Limited,spouse,2900650,1849348,-36.2
4427,AMIT SHAH,BJP,equity,VEDL,Vedanta Limited,self,2223300,1849019,-16.8
4427,AMIT SHAH,BJP,equity,VEDL,Vedanta Limited,spouse,2038025,1694934,-16.8
4427,AMIT SHAH,BJP,equity,CARBORUNIV,Carborundum Universal Limited,spouse,2496600,1671931,-33.0
4427,AMIT SHAH,BJP,equity,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,self,1391830,1532499,10.1
4427,AMIT SHAH,BJP,equity,RHIM,RHI MAGNESITA INDIA LIMITED,self,2505200,1514503,-39.5
4427,AMIT SHAH,BJP,equity,ONGC,Oil & Natural Gas Corporation Limited,self,1289268,1514087,17.4
4427,AMIT SHAH,BJP,equity,GAIL,GAIL (India) Limited,self,1741227,1485288,-14.7
4427,AMIT SHAH,BJP,equity,DCMNVL,DCM Nouvelle Limited,self,1981145,1468270,-25.9
4427,AMIT SHAH,BJP,equity,FINCABLES,Finolex Cables Limited,self,1971100,1452110,-26.3
4427,AMIT SHAH,BJP,equity,MPHASIS,MphasiS Limited,self,1436580,1388373,-3.4
4427,AMIT SHAH,BJP,equity,TECHM,Tech Mahindra Limited,spouse,1145625,1309865,14.3
4427,AMIT SHAH,BJP,equity,ABCAPITAL,Aditya Birla Capital Limited,self,787050,1228553,56.1
4427,AMIT SHAH,BJP,equity,WSTCSTPAPR,West Coast Paper Mills Limited,self,1502625,1208978,-19.5
4427,AMIT SHAH,BJP,equity,APLLTD,Alembic Pharmaceuticals Limited,self,1452825,1195861,-17.7
4427,AMIT SHAH,BJP,equity,TARC,TARC Limited,self,1561000,1187984,-23.9
4427,AMIT SHAH,BJP,equity,VOLTAS,Voltas Limited,self,1283900,1183015,-7.9
4427,AMIT SHAH,BJP,equity,MEDANTA,Global Health Limited,spouse,1163592,1173474,0.8
4427,AMIT SHAH,BJP,equity,RECLTD,REC Limited,self,1716400,1096753,-36.1
4427,AMIT SHAH,BJP,equity,ABFRL,Aditya Birla Fashion and Retail Limited,spouse,4599000,1088470,-76.3
4427,AMIT SHAH,BJP,equity,BPCL,Bharat Petroleum Corporation Limited,self,940921,965100,2.6
4427,AMIT SHAH,BJP,equity,CASTROLIND,Castrol India Limited,self,848259,913427,7.7
4427,AMIT SHAH,BJP,equity,ACC,ACC Limited,self,1709715,911270,-46.7
4427,AMIT SHAH,BJP,equity,MFSL,Max Financial Services Limited,self,511525,877751,71.6
4427,AMIT SHAH,BJP,equity,CANBK,Canara Bank,self,724768,853698,17.8
4427,AMIT SHAH,BJP,equity,BHARTIARTL,Bharti Airtel Limited,spouse,607980,844649,38.9
