mp_name,raw_name,declared_value,match_symbol,match_name,score
BRIJENDRA SINGH OLA,Nippon Life India Eq(39),17421,NAM-INDIA,Nippon Life India Asset Management Limited,1.0
DR. HEMANG JOSHI,LIC India Share- 19,17407,SHAREINDIA,Share India Securities Limited,0.6666666666666666
VIVEK THAKUR,50 share of Jio Financial,16875,JIOFIN,Jio Financial Services Limited,1.0
AMIT SHAH,Glenmark Life Sciences Limited Q. 20 Rate. 791.10,15822,ALIVUS,Alivus Life Sciences Limited,0.6666666666666666
BRIJENDRA SINGH OLA,Sun Pharma Re.1(10),15579,SPARC,Sun Pharma Advanced Research Company Limited,1.0
BRIJENDRA SINGH OLA,Sun Pharma Re.1(10),15579,SPARC,Sun Pharma Advanced Research Company Limited,1.0
ARUN BHARTI,Nippon India PSU No-INF204KB1617,14842,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
ANURAG SHARMA,SBI INDIA Share No. - 19,12968,SHAREINDIA,Share India Securities Limited,0.6666666666666666
BASAVARAJ BOMMAI,"Rail Vikas Ltd, INE415G01027 ,qty 50 , Market price pershare 253",12648,RVNL,Rail Vikas Nigam Limited,0.6666666666666666
BHAGIRATH CHOUDHARY,Global Capital Companay 14500,12470,CGCL,Capri Global Capital Limited,0.6666666666666666
BRIJENDRA SINGH OLA,Kotak Mahindra EQ5(6),10367,KOTAKBANK,Kotak Mahindra Bank Limited,0.6666666666666666
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Stock Invested in RBL Bank Invested,10320,RBLBANK,RBL Bank Limited,1.0
BRIJENDRA SINGH OLA,Info Edge-EQ(2),10232,NAUKRI,Info Edge (India) Limited,1.0
BRIJENDRA SINGH OLA,Info Edge-EQ(2),10232,NAUKRI,Info Edge (India) Limited,1.0
OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Natural Sugar and allied Industries Ltd. Share,10000,DWARKESH,Dwarikesh Sugar Industries Limited,0.6666666666666666
PRADYUT BORDOLOI,Equity Shares of Indian Overseas Bank 400 units,9600,INDIANB,Indian Bank,1.0
AMIT SHAH,Athena Financial Services Limited Q. 2000 Rate. 4.72,9440,AFSL,Abans Financial Services Limited,0.6666666666666666
AMIT SHAH,Western India Shipyard Limited Q. 10000 Rate. 0.88,8800,WCIL,Western Carriers (India) Limited,0.6666666666666666
BRIJENDRA SINGH OLA,(29)Ind-Swift RS-2(500),7890,INDSWFTLAB,Ind-Swift Laboratories Limited,0.6666666666666666
BIDYUT BARAN MAHATO,"Tata Steel Ltd, Folio No 037175xxxxx",7463,TATASTEEL,Tata Steel Limited,1.0
BRIJENDRA SINGH OLA,(37)Kotak Mahindra EQ5(4),6911,KOTAKBANK,Kotak Mahindra Bank Limited,0.6666666666666666
SANJAY DINA PATIL,Aditya Birla Mutual Fund,5000,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
SANJAY DINA PATIL,Aditya Birla Mutual Fund,5000,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
BIDYUT BARAN MAHATO,"Tata Steel Ltd, Folio No. S1-B0126757",4477,TATASTEEL,Tata Steel Limited,1.0
PATEL UMESHBHAI BABUBHAI,Demat No 2651xxxxx The Tata Power Company Ltd INE 245 A01021 Order No 130000000020xxxxx Trade Date-06/02/2019 Quantity 10,3942,TATAPOWER,Tata Power Company Limited,0.6666666666666666
AMIT SHAH,Informed Technologies India Limited Q. 60 Rate. 64.90,3894,CAPILLARY,Capillary Technologies India Limited,0.6666666666666666
AMIT SHAH,Soma Papers And Industries Limited Q. 44 Rate. 79.77,3509,SOMATEX,Soma Textiles & Industries Limited,0.6666666666666666
TANUJ PUNIA,Nippon India Juniorbees 5 share,3446,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
TANUJ PUNIA,Nippon India Goldbees share-51,3106,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
DR. SHARMILA SARKAR,Cerebra Integrated Tech Ltd,3040,CEREBRAINT,Cerebra Integrated Technologies Limited,0.6666666666666666
TANUJ PUNIA,Nippon India Niftibees 11 share,2750,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
AMIT SHAH,Agro Dutch Industries Ltd Q. 2000 Rate. 1.00,2000,HMAAGRO,HMA Agro Industries Limited,0.6666666666666666
NAVEEN JINDAL,Brahmputra Capital & Financial Services Ltd,2000,AKCAPIT,AK Capital Services Limited,1.0
NAVEEN JINDAL,Brahmputra Capital & Financial Services Ltd,2000,AKCAPIT,AK Capital Services Limited,1.0
DR C N MANJUNATH,200 Equity shares in Nagarjuna Fertilizers and chemicals limited value at cost Rs 8400,1960,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,0.75
AMIT SHAH,Gtl Infrastructure Limited Q. 1000 Rate. 1.70,1700,GTLINFRA,GTL Infrastructure Limited,1.0
DAYANIDHI MARAN,6 Equity Shares with Reliance Infrastructure Limited Market Value at Rs 240 per share as on 19-03-2024,1440,RIIL,Reliance Industrial Infrastructure Limited,0.6666666666666666
DAGGUBATI PURANDHESHWARI,Nippon India Mutual Fund Share 0.918 Rs 918/-,918,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
AMIT SHAH,Ahmedabad New Cotton Mills Q. 8 Rate. 90.00,720,AMBIKCO,Ambika Cotton Mills Limited,0.6666666666666666
AMIT SHAH,Yaari Digital Integrated Services Limited Q. 62 Rate. 10.46,648,ADSL,Allied Digital Services Limited,0.6666666666666666
AMIT SHAH,Teledata Technology Solutions Ltd. Q. 5000 Rate. 0.12,600,KISSHT,OnEMI Technology Solutions Limited,0.6666666666666666
AMIT SHAH,Teledata Technology Solutions Ltd Q. 5000 Rate. 0.12,600,KISSHT,OnEMI Technology Solutions Limited,0.6666666666666666
RAMASAHAYAM RAGHURAM REDDY,Nagarjuna Oil Refinery Ltd,600,GANDHAR,Gandhar Oil Refinery (India) Limited,0.6666666666666666
DAYANIDHI MARAN,20 Equity Shares with Reliance Power Limited Market Value at Rs 23.23 per share as on 19-03-2024,465,RPOWER,Reliance Power Limited,1.0
AMIT SHAH,Reliance Infrastructure Limited Q. 2 Rate. 199.95,399,RIIL,Reliance Industrial Infrastructure Limited,0.6666666666666666
RACHNA BANERJEE,Nippon India equity hybrid fund,390,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
BIDYUT BARAN MAHATO,"Tata Steel Ltd, Folio No. SBS13020787",165,TATASTEEL,Tata Steel Limited,1.0
DAYANIDHI MARAN,80 Equity Shares with Reliance Communications Ventures Limited Market Value at Rs 1.91 per share as on 19-03-2024,153,RCOM,Reliance Communications Limited,1.0
DR. HEMANG JOSHI,Indian Renuable Energy Share-1,136,IEX,Indian Energy Exchange Limited,0.6666666666666666
RACHNA BANERJEE,Nippon India equity hybrid fund,101,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
RACHNA BANERJEE,Nippon India equity hybrid fund,91,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
JUNE MALIAH,"Nippon India Equity Hybrid Fund, Number of Units - 906.8150, Purchase Value-47.99/-",46,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
RACHNA BANERJEE,Nippon India equity hybrid fund,42,INDNIPPON,India Nippon Electricals Limited,0.6666666666666666
