mp_name,raw_name,declared_value,match_symbol,match_name,score
ESWARASAMY K,Pavathal Spinning Mills (35802 Equity Shares * 100),3580200,NAHARSPING,Nahar Spinning Mills Limited,0.6666666666666666
ANURAG SHARMA,India Airtel LTD. Share No. - 2567,3153816,SHAREINDIA,Share India Securities Limited,0.6666666666666666
ANURAG SHARMA,INDIA AIRTEL LTD. Share No. - 2567,3153816,SHAREINDIA,Share India Securities Limited,0.6666666666666666
AMIT SHAH,Century Textiles And Industries Limited Q. 1800 Rate. 1746.50,3143700,SOMATEX,Soma Textiles & Industries Limited,0.6666666666666666
ANURAG SHARMA,Frankline India Flexi Cap fund Share No. - 2185.731,3047484,SHAREINDIA,Share India Securities Limited,0.6666666666666666
PARBHUBHAI NAGARBHAI VASAVA,State Bank of India Life Mutual Funds 03 30/06/2015,3000000,BANKINDIA,Bank of India,1.0
DULU MAHATO,Mutual Fund in Aditya Birla SIP Filio No 103786xxxxx,2737722,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
BAIJAYANT PANDA,"Aditya Birla SL Crisil Index Fund Reg Growth-Folio No 103765xxxxx, unit-245700.035",2679899,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
RAMASAHAYAM RAGHURAM REDDY,Mirae Emerging Blue Chip Equity fund,2667710,BLUECHIP,Blue Chip India Limited,0.6666666666666666
RACHNA BANERJEE,Bonds - Housing & Urban development corporation,2521000,HUDCO,Housing & Urban Development Corporation Limited,0.75
PARBHUBHAI NAGARBHAI VASAVA,State Bank of India Life Mutual Funds No 02,2500000,BANKINDIA,Bank of India,1.0
Y. S. AVINASH REDDY,Share In Kotak PCS Securities LTD Hydrabad,2479206,SHAREINDIA,Share India Securities Limited,0.6666666666666666
SUPRIYA SULE,Sun Pharma Industries Ltd 1550,2445822,SUNPHARMA,Sun Pharmaceutical Industries Limited,0.6666666666666666
ANURAG SHARMA,Fainknil India Foucued Fund Share No 2xxxxx.654,2407857,SHAREINDIA,Share India Securities Limited,0.6666666666666666
ESWARASAMY K,Pavathal Spinning Mills (23373 Equity Shares * 100),2337300,NAHARSPING,Nahar Spinning Mills Limited,0.6666666666666666
ANURAG SHARMA,Invesko India Contro Fund Share No 2xxxxx.675,2264639,SHAREINDIA,Share India Securities Limited,0.6666666666666666
DR. SHARMILA SARKAR,SBI Life 2B611242406,2084387,SBILIFE,SBI Life Insurance Company Limited,0.6666666666666666
T R BAALU,"No.of shares:197500 ,M/s Kings India Power Corporation Ltd",1975000,GVPIL,GE Power India Limited,1.0
RAMASAHAYAM RAGHURAM REDDY,Nippon India Reliance ETF Bank,1954550,BANKINDIA,Bank of India,1.0
CAPTAIN VIRIATO FERNANDES,SBI Mutual Fund Scheme Type-SBI Blue Chip Fund Dir Plan-G(D103G)Folio No 1614xxxxx,1869554,BLUECHIP,Blue Chip India Limited,0.6666666666666666
VE VAITHILINGAM,Shares - (1) Bio Con- 99. (2) Exide Industries - 170. (3) Fortis Healthcare - 20. (4) India Cements - 112. (5) Infosys Ltd - 312. (6) ITC - 145. (7) TCS - 84. (8) Tata Steel. (9) Tech Mahindra. (10) Karur Vysya Bank 2400. (11) Ultra Tech Cement 5. (12) Yes Bank - 7737,1794318,BANKINDIA,Bank of India,1.0
DULU MAHATO,Mutual Fund in Aditya Birla SIP Folio No 103786xxxxx,1788339,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
POONAMBEN HEMATBHAI MAADAM,Shares of Jio Financial 4260,1509318,JIOFIN,Jio Financial Services Limited,0.6666666666666666
RAJMOHAN UNNITHAN,"SBI Mutual Fund, Parliament Branch New Delhi Folio No 2481xxxxx Initial Investment 1100000",1306000,NDTV,New Delhi Television Limited,0.6666666666666666
T R BAALU,"No.of shares:253376, M/s Kings India Chemicals Corporation Ltd",1266880,VINYLINDIA,Vinyl Chemicals (India) Limited,0.6666666666666666
PARBHUBHAI NAGARBHAI VASAVA,State Bank of India Life Mutual Funds No 02,1261250,BANKINDIA,Bank of India,1.0
ARUNA. D. K,Shares Britannia Industries Ltd. No. of Shares 592 Total Value for 592 shares,1238160,BRITANNIA,Britannia Industries Limited,1.0
RACHNA BANERJEE,Canara Robeco Blue Chip,1134601,BLUECHIP,Blue Chip India Limited,0.6666666666666666
SHASHI THAROOR,ICICI Pru- Pharma Health Care and Diagnostics Fund (G),1128322,AGARWALEYE,Dr. Agarwal's Health Care Limited,0.6666666666666666
BAIJAYANT PANDA,"Aditya Birla SL Credit Rist Fund Gr-Regular, Folio No 103765xxxxx, unit-58700.549",1098634,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
SHATRUGHAN PRASAD SINHA,"Rattan India Enterprises Ltd, 15800 Shares",1093360,AMBER,Amber Enterprises India Limited,0.6666666666666666
CAPTAIN VIRIATO FERNANDES,Aditya Birla Sunlife Mutual Fund Scheme Type-ABSL Flexi Cap Fund-Growth-Direct(51z)Folio-1018107524,1017336,ABCAPITAL,Aditya Birla Capital Limited,0.6666666666666666
SUMATHY T,100000 Shares Sasvitha Home Finance value 10*100000,1000000,REPCOHOME,Repco Home Finance Limited,0.6666666666666666
SUMATHY T,100000 Shares Sasvitha Home Finance value 10*100000,1000000,REPCOHOME,Repco Home Finance Limited,0.6666666666666666
